CODE,Id,lat,lon,.geo
1755,0,38.83006757,-77.40306002,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.40392543781373,38.830115047657515],[-77.40392543781373,38.8299679412532],[-77.40280177855024,38.830115078978594],[-77.40392543781373,38.830115047657515]]],[[[-77.39442758934085,38.8301150264411],[-77.3945792030018,38.83011509416503],[-77.39442758934085,38.83005266679241],[-77.39442758934085,38.8301150264411]]]]}"
1756,0,38.71140348,-77.77921324,"{""type"":""Polygon"",""coordinates"":[[[-77.78392561822828,38.716113690697384],[-77.78392561822828,38.706615782915236],[-77.77559595665132,38.706615778888],[-77.77560040856955,38.70728910580059],[-77.77442771473697,38.70728467653038],[-77.77442771473697,38.71611368450412],[-77.78392561822828,38.716113690697384]]]}"
1757,0,39.13979139,-77.12711324,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.12710448882709,39.13411426316058],[-77.12578899704164,39.136218962376816],[-77.12842883250067,39.13721334177093],[-77.12842883250067,39.13411431400339],[-77.12710448882709,39.13411426316058]]],[[[-77.12842883250067,39.13842180699624],[-77.12648462493166,39.1391218505469],[-77.12618588467669,39.14201137634536],[-77.12453599631175,39.14235466754013],[-77.12424620565157,39.14361213279675],[-77.12842883250067,39.143612143554655],[-77.12842883250067,39.13842180699624]]]]}"
1758,0,39.25407835,-77.22689237,"{""type"":""Polygon"",""coordinates"":[[[-77.22342552775937,39.24811566403033],[-77.22342552775937,39.25761352165721],[-77.2329278175094,39.257613571059025],[-77.2329278175094,39.25691349217073],[-77.23130028617763,39.254545700007085],[-77.22966825913772,39.253230269003026],[-77.227175574295,39.2516338958318],[-77.22555252477406,39.24811563666945],[-77.22342552775937,39.24811566403033]]]}"
1759,0,38.94886315,-77.36117827,"{""type"":""Polygon"",""coordinates"":[[[-77.36592945468638,38.944111982946346],[-77.35642708904743,38.944112002243116],[-77.35642708904743,38.95361434567568],[-77.36592945468638,38.95361431860935],[-77.36592945468638,38.944111982946346]]]}"
1760,0,38.79680786,-77.52263497,"{""type"":""Polygon"",""coordinates"":[[[-77.52742919558747,38.79211459880011],[-77.51792686703541,38.79211457132332],[-77.51792686703541,38.801612480245396],[-77.52393766690334,38.80161249069458],[-77.52618505167756,38.80117549325819],[-77.52742919558747,38.80108635203575],[-77.52742919558747,38.79211459880011]]]}"
1761,0,39.17686368,-77.16167811,"{""type"":""Polygon"",""coordinates"":[[[-77.1569269289516,39.17211474689381],[-77.1569269289516,39.18161260517618],[-77.16642928535117,39.181612625131464],[-77.16642928535117,39.172114770396824],[-77.1569269289516,39.17211474689381]]]}"
1762,0,39.03436417,-77.08567716,"{""type"":""Polygon"",""coordinates"":[[[-77.08092598657409,39.029615262452126],[-77.08092598657409,39.03911312854272],[-77.09042832433362,39.0391130909309],[-77.09042832433362,39.02961522726755],[-77.08092598657409,39.029615262452126]]]}"
1763,0,38.81589308,-77.3706481,"{""type"":""Polygon"",""coordinates"":[[[-77.36592945468638,38.81111483902227],[-77.36592945468638,38.82061272786786],[-77.37542736315471,38.820612748303255],[-77.37542736315471,38.81239903859992],[-77.37496806623905,38.81184163631246],[-77.37455782486539,38.811114804604955],[-77.36592945468638,38.81111483902227]]]}"
1764,0,38.87286443,-76.86717676,"{""type"":""Polygon"",""coordinates"":[[[-76.86242559752206,38.86811549996531],[-76.86242559752206,38.87761340545733],[-76.87192792618866,38.87761338815646],[-76.87192792618866,38.86811548129492],[-76.86242559752206,38.86811549996531]]]}"
1765,0,38.80636364,-77.63667716,"{""type"":""Polygon"",""coordinates"":[[[-77.6414260689503,38.81111479008174],[-77.64142606895028,38.801612452986895],[-77.63192824366772,38.80161251144379],[-77.63192824366772,38.81111486198528],[-77.6414260689503,38.81111479008174]]]}"
1766,0,38.74936297,-77.7221782,"{""type"":""Polygon"",""coordinates"":[[[-77.72692937436878,38.754114119389975],[-77.72692937436878,38.74461179111421],[-77.71742702173927,38.74461182291085],[-77.71742702173927,38.75411416629073],[-77.72692937436878,38.754114119389975]]]}"
1767,0,38.47386409,-77.43717698,"{""type"":""Polygon"",""coordinates"":[[[-77.43242804224761,38.46911517373376],[-77.43242804224761,38.47861304305747],[-77.44192591373807,38.47861301530037],[-77.44192591373807,38.46911515650502],[-77.43242804224761,38.46911517373376]]]}"
1768,0,38.87286443,-77.27567723,"{""type"":""Polygon"",""coordinates"":[[[-77.28042619344917,38.87761337038814],[-77.28042619344917,38.868115500430065],[-77.27092826380152,38.8681155037203],[-77.27092826380152,38.87761338021384],[-77.28042619344917,38.87761337038814]]]}"
1769,0,38.93936302,-77.30417759,"{""type"":""Polygon"",""coordinates"":[[[-77.30892877560845,38.94411196879304],[-77.30892877560845,38.934614070403015],[-77.29942640684195,38.93461409420426],[-77.29942640684195,38.94411199940664],[-77.30892877560845,38.94411196879304]]]}"
1770,0,39.12936309,-77.07617704,"{""type"":""Polygon"",""coordinates"":[[[-77.0714280795823,39.12461194759791],[-77.0714280795823,39.13411425194779],[-77.08092598657409,39.13411429778441],[-77.08092598657409,39.12461191735172],[-77.0714280795823,39.12461194759791]]]}"
